ESTACAO;UF;MUNICIPIO;NOME;ESTADO;DATA_ATIVACAO;DATA_ULTIMA_MODIF;LAT;LONG;ENDERE«O;GCN;SITES_INTERNOS;DESCRICAO_SITES_INTERNOS
RDB;RJ;RIO DE JANEIRO;RECREIO DOS BANDEIRANTES;Instalado;2012-07-18 00:00:00 UTC;2019-07-21 11:59:20 UTC;-230153801;-434651212;RUA ALBERTO CAVALCANTI, 121, RECREIO BANDEIRANTES, RIO DE JANEIRO - RJ 22790850;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/RDB/NI/NI, GPON / T√âRREO, IES, MODEM OPTICO FICTICIO, Metro, Newbridge, Sala 1, TRANSMISSAO TERREO, TX
RETK;RJ;VOLTA REDONDA;RETIRO;Instalado;2014-04-05 20:53:13 UTC;2019-03-21 14:51:26 UTC;-224986728;-440947029;AVENIDA ALMIRANTE ADALBERTO BARROS NUNES, 420, NITEROI, VOLTA REDONDA - RJ 27283775;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNI. DE DADOS - 2 ANDAR, COMUTA«√ÉO, Datacom, ELR-II / ARC-550 / AXE / 2AND, EST/RETK/NI/NI, GPON, HUAWEI - NGN - 3 ANDAR, MODEM OPTICO FICTICIO, Metro, Newbridge, RMS, RTK, SALA DO SITE VRD002, TRANSMISSAO - 2 ANDAR, TRANSMISS√ÉO
RGDE;RS;RIO GRANDE;Rio Grande Cassino;Instalado;2023-01-13 10:50:11 UTC;2023-01-16 12:35:53 UTC;-32184646;-52157692;0;N„o;Sala, Sala, Sala;CD, IE, TX
RMTS;SC;JOINVILLE;RIO MUTUCAS;Instalado;2016-08-21 15:07:06 UTC;2022-09-28 20:05:38 UTC;-262858483;-489111208;RUA AMANDUS PENSKI, 83, VL NOVA, JOINVILLE - SC 89237625;N„o;Sala, Sala;ANDAR/RMTS/TT/001
ROI1;MT;RONDONOPOLIS;SMP ROI1;Instalado;2018-02-25 01:28:18 UTC;2019-04-17 14:54:08 UTC;-164708796;-546337038;0;N„o;Sala;0
ROMA;BA;SALVADOR;ROMA;Instalado;2014-04-03 14:07:55 UTC;2019-04-16 12:08:44 UTC;-129366611;-385069533;PRACA IRMA DULCE, 22, ROMA, SALVADOR - BA 40444100;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/ROMA/NI/NI, Metro, Newbridge, PCM - TERREO (AT), TRANSMISSAO - SIGMA - 1ANDAR, TRANSMISSAO-TERREO (AT), TX
ROS;RS;ROCA SALES;ROS;Instalado;2022-11-04 00:00:00 UTC;2022-11-04 00:00:00 UTC;-292841667;-518675;0;N„o;Sala;ANDAR/ROS/01/TX
RRS;RS;ROSARIO DO SUL;ROSARIO DO SUL;Instalado;2016-08-21 15:07:06 UTC;2021-08-31 17:34:04 UTC;-302580622;-549197898;RUA AMARO SOUTO, 2398, CENTRO, ROSARIO DO SUL - RS 97590000 ;N„o;Sala, Sala, Sala, Sala;ANDAR/RRS/01/TX, ANDAR/RRS/TT/TX, EQPT, EST/RRS/NI/NI
RSD;ES;CARIACICA;RUA SANTOS DUMONT;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-20202;-402142;0;N„o;0;0
RSL;ES;GUARAPARI;RODOVIA DO SOL;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-203939;-40301;0;N„o;0;0
