ESTACAO;UF;MUNICIPIO;NOME;SISTEMA_ORIGEM;ESTADO;DATA_ATIVACAO;DATA_ULTIMA_MODIF;LAT;LONG;ENDERE�O;GCN;SITES_INTERNOS;DESCRICAO_SITES_INTERNOS
BERO;RJ;BELFORD ROXO;BELFORD ROXO I;Netwin;Instalado;2014-04-05 20:53:17 UTC;2019-09-06 17:36:01 UTC;-22.753.233;-434.033.923;ESTRADA BENTO JOSE MARTINS SILVARES, 595, PIAM, BELFORD ROXO - RJ 26112180;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 4 ANDAR, Datacom, EST/BERO/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, TRANSMISSAO - 4 ANDAR, TX / 4ÂºANDAR
BAR;MG;BELO HORIZONTE;BARROCA;Netwin;Instalado;2014-04-05 20:46:09 UTC;2023-12-19 11:17:28 UTC;-199.319.078;-439.668.592;RUA JAPAO, 74, ALTO BARROCA, BELO HORIZONTE - MG 30431048 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;332, 334, Datacom, EST/BAR/NI/NI, Metro, Newbridge, PCM1, PCM2/DADOS, RMS, TRANSMISSAO - TERREO, TRANSMISSÃƒO, TX, TX - 2Âº ANDAR
BCI;MG;BELO HORIZONTE;BARREIRO DE CIMA;Netwin;Instalado;2014-04-05 20:46:09 UTC;2022-08-08 20:07:11 UTC;-199.911.809;-440.078.178;AVENIDA OLINTO MEIRELES, 2400, BARREIRO, BELO HORIZONTE - MG 30640010;Não;Sala, Sala, Sala, Sala, Sala;Datacom, EQUIPAMENTOS, Metro, PRESSURIZACAO, TERREO - TX
BEL;MG;BELO HORIZONTE;BELVEDERE;Netwin;Instalado;2012-03-23 00:00:00 UTC;2023-08-30 16:49:50 UTC;-199.696.479;-439.429.338;AVENIDA PAULO CAMILO PENA, 292, BELVEDERE, BELO HORIZONTE - MG 30320380 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EQTOS, EST/BEL/NI/NI, GPOM / TÃ‰RREO, Metro, Newbridge, PRESSURIZACAO, Sala 1, TERREO - TX
BGU;MG;BELO HORIZONTE;BERNARDO GUIMARÃƒES;Netwin;Instalado;2012-03-23 00:00:00 UTC;2022-09-12 17:58:09 UTC;-19.927.627;-43.945.511;RUA BERNARDO GUIMARAES, 2258, LOURDES, BELO HORIZONTE - MG 30140087;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;DADOS DXX (AT), DADOS E1, DADOS NOVA- NWB, Datacom, EST/BGU/NI/NI, HUAWEI - NGN, Metro, MÃ³vel, Newbridge, PCM 6 NOV - 3Âº ANDAR, PCM NOVA (AT), PCM VELHA (AT), RMS, Sala 1, T, TERREO - TX, TRANSMISSÃƒO - TERREO
CIN;MG;BELO HORIZONTE;CIDADE INDUSTRIAL;Netwin;Instalado;2021-07-12 19:09:52 UTC;2025-08-12 13:13:11 UTC;-1.995.273;-44.020.258;AVENIDA CARDEAL EUGENIO PACELLI, 1052, CIDADE INDUSTRIAL, BELO HORIZONTE - MG 32210002 ;Não;Sala, Sala, Sala, Sala, Sala;ANDAR/CIN/ONS/TX, ANDAR/CIN/PTN/01, ANDAR/CIN/PTN/TX, ANDAR/CIN/TT/TX, EST/CIN/NI/NI
CNO;MG;BELO HORIZONTE;CIDADE NOVA;Netwin;Instalado;2014-04-05 20:46:09 UTC;2025-08-05 14:33:47 UTC;-198.892.715;-439.218.873;;Não;Sala, Sala, Sala, Sala;COMUTACAO, Datacom, EST/CNO/NI/NI, TRANSMISSAO/PRESSURIZACAO
CPR;MG;BELO HORIZONTE;CARLOS PRATES;Netwin;Instalado;2014-04-05 20:46:09 UTC;2020-06-23 16:31:42 UTC;-199.117.183;-439.705.273;AVENIDA DOM PEDRO II, 3110, CAICARAS, BELO HORIZONTE - MG 30770162;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;DADOS / 1ANDAR, Datacom, EST/CPR/NI/NI, Metro, Newbridge, RMS, TERREO - TX, TRANSMISSAO - 1 ANDAR, TRANSMISSÃƒO - TERREO
EDA;MG;BELO HORIZONTE;ESTRELA D ALVA;Netwin;Instalado;2014-04-05 20:46:09 UTC;2018-05-21 18:09:41 UTC;-199.649.203;-439.688.948;AVENIDA COSTA DO MARFIM, 125, HAVAI, BELO HORIZONTE - MG 30575000;Não;Sala, Sala, Sala, Sala, Sala;Datacom, EQUIPAMENTOS, EST/EDA/NI/NI, Metro, PRESSURIZACAO
GLO;MG;BELO HORIZONTE;GLORIA;Netwin;Instalado;2014-04-05 20:46:09 UTC;2020-08-25 14:20:05 UTC;-199.034.458;-440.173.656;RUA NOVO MUNDO, 94, NOVO GLORIA, BELO HORIZONTE - MG 30880320;Não;Sala, Sala, Sala, Sala, Sala;Datacom, EQUIPAMENTOS, EST/GLO/NI/NI, Metro, TERREO - PRESSURIZACAO
GOI;MG;BELO HORIZONTE;GOIAS;Netwin;Instalado;2014-04-05 20:46:09 UTC;2021-03-05 11:27:34 UTC;-199.236.944;-439.362.856;RUA GOIAS, 41, CENTRO, BELO HORIZONTE - MG 30190030 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;CIN, DADOS / 2 ANDAR, Datacom, EST/GOI/NI/NI, HUAWEI - NGN / TERREO, Metro, Newbridge, PCM, RMS, TRANSMISSAO / TERREO
