ESTACAO;UF;MUNICIPIO;NOME;SISTEMA_ORIGEM;ESTADO;DATA_ATIVACAO;DATA_ULTIMA_MODIF;LAT;LONG;ENDERE�O;GCN;SITES_INTERNOS;DESCRICAO_SITES_INTERNOS
ECWL;RO;CACOAL;CENTRO;Netwin;Instalado;2021-05-22 13:47:53 UTC;2021-07-30 13:34:38 UTC;-114.360.673;-614.494.315;AVENIDA S PAULO, 2687, CENTRO, CACOAL - RO 76963801 ;Não;Sala, Sala, Sala, Sala;ANDAR/ECWL/TT/BACKBONE, ANDAR/ECWL/TT/DT, ANDAR/ECWL/TT/TX
CAM;RS;CAMAQUA;CAMAQUA-SAC;Netwin;Instalado;2016-08-21 15:07:06 UTC;2021-06-28 20:59:21 UTC;-3.085.303;-5.181.397;RUA MAL FLORIANO, 273, CENTRO, CAMAQUA - RS 96780034;Não;Sala, Sala, Sala, Sala;ANDAR/CAM/01/TX, ANDAR/CAM/TT/TX, EQPTO, TX
CACE;PR;CAMBE;CAMBÃ‰;Netwin;Instalado;2021-11-12 17:10:33 UTC;2022-05-05 19:55:58 UTC;-232.789.325;-51.279.456;RUA FRANCA, 425, CENTRO, CAMBE - PR 86181040 ;Não;Sala, Sala, Sala, Sala, Sala;ANDAR/CACE/TT/01, ANDAR/CACE/TT/TX, EST/CACE/NI/NI
CRW;SC;CAMBORIU;CRW;Netwin;Instalado;2023-05-30 19:28:33 UTC;2023-05-30 19:32:13 UTC;-270.044.989;-486.520.918;RUA CEREJEIRA, 704, TABULEIRO, CAMBORIU - SC 88348104 ;Não;;
CKJP;PR;CAMPINA GRANDE DO SUL;CKG SUL/JD PAULISTA R DUILIO CALDERARI;Netwin;Instalado;2016-08-21 15:07:06 UTC;2022-12-14 19:19:12 UTC;-253.635.714;-490.994.475;RUA PROF DUILIO CALDERARI, 841, JD PAULISTA, CAMPINA GRANDE DO SUL - PR 83430000 ;Não;Sala, Sala;ANDAR/CKJP/TT/01
BOD;PB;CAMPINA GRANDE;BODOCONGO;Netwin;Instalado;2014-04-05 19:37:25 UTC;2020-03-12 13:53:50 UTC;-72.176.565;-359.091.532;RUA RODRIGUES ALVES, 125, PRATA, CAMPINA GRANDE - PB 58400550;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;BOD02_TROPICO RA, DG, Datacom, EQUIPAMENTOS, EST/BOD/NI/NI, Newbridge, TRANSMISSAO - TERREO
CJD;SP;CAMPINAS;CAS JC DOIS;Netwin;Instalado;2015-09-03 12:07:47 UTC;2021-11-30 14:36:03 UTC;-228.910.117;-470.792.385;RUA QUATORZE BIS, 175, JARDIM CHAPADAO, CAMPINAS - SP 13070040 ;Não;Sala, Sala;EST/CJD/NI/NI, SALA TX
CNA;SP;CAMPINAS;CAMPINAS;Netwin;Instalado;2023-04-18 14:28:05 UTC;2023-04-18 14:29:02 UTC;-230.375.934;-471.238.328;;Não;;
DTO;SP;CAMPINAS;VTAL DIC VI;Netwin;Instalado;2023-01-11 18:31:56 UTC;2023-03-01 17:10:34 UTC;-22.982.355;-471.341.023;RUA ISABEL JACOBER SIGRIST, 60, DIC VI, CAMPINAS - SP 13054662 ;Não;Sala;SALA TX
PPF;SP;CAMPINAS;PEGASUS PARQUE DA FIGUEIRA;Netwin;Instalado;2014-06-04 00:00:00 UTC;2021-11-29 19:26:11 UTC;-229.445.593;-470.647.233;AVENIDA SEBASTIAO CURY, 1299, PARQUE DA FIGUEIRA, CAMPINAS - SP 13040290 ;Não;Sala, Sala;EST/PPF/NI/NI, SALA TX
VLG;SP;CAMPINAS;VTAL VILA GEORGINA;Netwin;Instalado;2022-05-05 15:16:34 UTC;2023-01-09 20:13:57 UTC;-229.341;-4.703.038;AVENIDA AUGUSTO FIGUEIREDO, 1444, VILA SANTA ODILA, CAMPINAS - SP 13045603 ;Não;Sala;SALA TX
VNN;SP;CAMPINAS;NOVA EST CAMPINAS - M039;Netwin;Instalado;2023-03-30 14:02:11 UTC;2023-10-16 16:02:39 UTC;-228.391.832;-471.562.479;AVENIDA ARMANDO ANTONIO D OTTAVIANO, 552, VILA SAN MARTIN, CAMPINAS - SP 13069092 ;Não;Sala;
CBM;RS;CAMPO BOM;CAMPO BOM;Netwin;Instalado;2016-08-21 15:07:06 UTC;2022-10-04 21:13:38 UTC;-296.775.094;-510.577.082;AVENIDA ADRIANO DIAS, 241, CENTRO, CAMPO BOM - RS 93700000 ;Não;Sala, Sala, Sala, Sala;ANDAR/CBM/01/TX, ANDAR/CBM/TT/CD, EST/CBM/NI/NI
CPAE;MS;CAMPO GRANDE;AEROPORTO;Netwin;Instalado;2016-08-21 15:07:06 UTC;2021-05-12 11:38:23 UTC;-204.527.106;-546.649.531;RUA BELO HORIZONTE, 692, JARDIM IMA, CAMPO GRANDE - MS 79102200 ;Não;Sala, Sala;ANDAR/CPAE/TT/1TX
CPBA;MS;CAMPO GRANDE;BANDEIRANTES;Netwin;Instalado;2016-08-21 15:07:06 UTC;2020-05-28 17:42:37 UTC;-205.133.126;-54.655.627;AVENIDA DR GUNTER HANS, 3246, JARDIM TIJUCA, CAMPO GRANDE - MS 79092612;Não;Sala, Sala, Sala, Sala;ANDAR/CPBA/CPBA/1TX, ANDAR/CPBA/CPBA/CD, EST/CPBA/NI/NI
CPNL;MS;CAMPO GRANDE;NOVA LIMA;Netwin;Instalado;2016-08-21 15:07:06 UTC;2022-04-27 22:08:04 UTC;-202.560.369;-54.341.092;;Não;Sala;EST/CPNL/NI/NI
CPSM;MS;CAMPO GRANDE;SANTA MARIA;Netwin;Instalado;2022-11-04 00:00:00 UTC;2026-04-02 18:46:53 UTC;-204.707.977;-545.462.808;RUA LONDRINA, 0, PANORAMA, CAMPO GRANDE - MS 79044650 ;Não;Sala, Sala;ANDAR/CPSM/TT/1
CLG;PR;CAMPO LARGO;CAMPO LARGO;Netwin;Instalado;2022-05-23 17:25:44 UTC;2022-07-19 11:37:42 UTC;-254.564.638;-495.268.251;AVENIDA VER ARLINDO CHEMIN, 170, CENTRO, CAMPO LARGO - PR 83601070 ;Não;Sala, Sala, Sala;ANDAR/CLG/TT/01, ComutaÃ§ão, TX
CPIP;PR;CAMPO MOURAO;CPO MOURAO/IRMAOS PEREIRA , 1480;Netwin;Instalado;2014-04-05 22:18:37 UTC;2022-10-17 20:53:29 UTC;-240.457.099;-523.782.326;AVENIDA IRMAOS PEREIRA, 1480, CENTRO, CAMPO MOURAO - PR 87300010 ;Não;Sala, Sala, Sala, Sala;ANDAR/CPIP/TT/01, ANDAR/CPIP/TT/02, ANDAR/CPIP/TT/TX
CPS;RJ;CAMPOS DOS GOYTACAZES;CAMPOS I;Netwin;Instalado;2014-04-05 20:53:13 UTC;2018-07-09 11:55:18 UTC;-217.593.891;-413.234.076;AVENIDA TREZE DE MAIO, 80, CENTRO, CAMPOS DOS GOYTACAZES - RJ 28010260;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/CPS/01/TX, ARC01_CX_ELR_AXE, CBF, COBERTURA - SALA 705, COMUNICACAO DE DADOS 4 ANDAR, COMUTAÃ‡ÃƒO, CPS01_COMUTACAO_S12, CPS01_COMUTACAO_ZETAX, Datacom, EST/CPS/NI/NI, GPON, HUAWEI - NGN /, MODEM OPTICO FICTICIO, Metro, Newbridge, RADIOS ANATEL, RMS, SALA GPON, SALA GPON, TERREO - SALA 1, TRANSMISSAO, TRANSMISSAO - 2 ANDAR, TRANSMISSAO - 4 ANDAR, TRANSMISSÃƒO, TX / 4Âº ANDAR
CAN;RS;CANOAS;CANOAS;Netwin;Instalado;2016-08-21 15:07:06 UTC;2023-03-01 18:52:28 UTC;-299.247.275;-511.781.475;AVENIDA GETULIO VARGAS, 4770, CENTRO, CANOAS - RS 92010242 ;Não;Sala, Sala, Sala;ANDAR/CAN/01/TX, ANDAR/CAN/TT/CD
CKBD;RS;CANOAS;CAN CAN_KBD;Netwin;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-295.633;-511.028;;Não;;
ELVA;RS;CANOAS;RS EVH_LVA;Netwin;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-295.633;-511.028;;Não;;
GJV;RS;CANOAS;GUAJUVIRAS - CANOAS;Netwin;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-29.554;-51.111;;Não;Sala, Sala;ANDAR/GJV/01/TX
IGA;RS;CANOAS;VL IGARA - CANOAS;Netwin;Instalado;2018-11-28 15:52:17 UTC;2019-04-08 12:53:06 UTC;-299.017.355;-511.709.712;RUA ARAGUAIA, 555, IGARA, CANOAS - RS 92410000;Não;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/IGA/01/CD, ANDAR/IGA/01/TX, EST/IGA/NI/NI, GPON
IKEI;RS;CANOAS;RS IGA_KEI;Netwin;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-295.633;-511.028;;Não;;
MVO;RS;CANOAS;MATIAS VELHO-CANOAS;Netwin;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-29.554;-51.111;;Não;Sala, Sala;ANDAR/MVO/01/TX, EST/MVO/NI/NI
CRB;SP;CARAPICUIBA;VTAL CRB FTTH;Netwin;Instalado;2023-03-07 14:38:50 UTC;2023-03-08 20:04:47 UTC;-235.273.567;-468.527.677;;Não;Sala;SALA TX
CIO;RS;CARAZINHO;CARAZINHO;Netwin;Instalado;2016-08-21 15:07:06 UTC;2021-08-02 19:21:35 UTC;-282.877.192;-527.953.161;PRACA PAUL HARRIS, 46, CENTRO, CARAZINHO - RS 99500000 ;Não;Sala, Sala, Sala, Sala, Sala;ANDAR/CIO/01/TX, ANDAR/CIO/TT/TX, EST/CIO/NI/NI, Sala de Dados
CCA;ES;CARIACICA;CARIACICA;Netwin;Instalado;2014-04-05 20:45:59 UTC;2022-06-09 10:51:01 UTC;-202.673.776;-404.161.861;RUA NESTOR GOMES, 29, CARIACICA SEDE, CARIACICA - ES 29156075 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala;CCA01_COMUTACAO_TROPICO RA, Datacom, EST/CCA/NI/NI, MPI02_COMUTACAO_AXE_ELR, Metro, RMS
SFCO;ES;CARIACICA;SAO FRANCISCO   ELR;Netwin;Instalado;2014-04-05 20:45:59 UTC;2022-05-11 17:50:27 UTC;-203.445.659;-404.066.816;RUA EDSON BONADIMAN, 93, S FRANCISCO, CARIACICA - ES 29145450 ;Não;Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/SFCO/NI/NI, JAMC2_COMUTACAO_ELR_AXE, Metro, TRANSMISSAO - TERREO
ECRU;PE;CARUARU;ESTACAO TELEFONICA DE CARUARU;Netwin;Instalado;2014-04-05 19:37:20 UTC;2020-04-16 17:28:24 UTC;-82.839.926;-359.698.809;RUA OSCAR MARIANO DA SILVA, 82, NOSSA SENHORA DORES, CARUARU - PE 55002505;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ALCATEL - NGN, CX_EWSD_CRU01/2Â°ANDAR, Datacom, EST/ECRU/NI/NI, HUAWEI - NGN, Metro, Newbridge, RMS, TRANSMISSAO, TRANSMISSAO - 1Â° ANDAR, TRANSMISSÃƒO, TX - 1Âº ANDAR, TX / TÃ‰RREO
PCRU;PE;CARUARU;ESTACAO TELEFONICA POLO DE CARUARU;Netwin;Instalado;2014-04-05 19:37:20 UTC;2014-04-05 19:37:20 UTC;-83.081.433;-359.902.745;;Não;Sala;Datacom
CSFO;PR;CASCAVEL;FLORESTA-R LEONARDO DA VINCI,1487;Netwin;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-245.721;-532.719;;Não;Sala;ANDAR/CSFO/TT/01
CSGO;PR;CASCAVEL;GENERAL OSÃ“RIO;Netwin;Instalado;2018-11-21 17:57:20 UTC;2020-10-20 18:16:33 UTC;-249.588.238;-534.564.285;RUA GEN OSORIO, 3442, CENTRO, CASCAVEL - PR 85801110 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/CSGO/04/DADOS, ANDAR/CSGO/04/TX, ANDAR/CSGO/06/01, ANDAR/CSGO/06/SAL, ANDAR/CSGO/06/TX, ANDAR/CSGO/06/TX2, ANDAR/CSGO/TT/CD, ANDAR/CSGO/TT/TX, EST/CSGO/NI/NI
CSRO;PR;CASCAVEL;CASCAVEL/RODOVIARIA-R JUSC KUBISTCHEKI;Netwin;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-245.721;-532.719;;Não;Sala, Sala;ANDAR/CSRO/TT/01, ANDAR/CSRO/TT/TX
CSSC;PR;CASCAVEL;CASCAVEL/SAO CRISTOVAO-RUA ROCHA POMBO;Netwin;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-245.721;-532.719;;Não;Sala, Sala, Sala;ANDAR/CSSC/TT/01, ANDAR/CSSC/TT/TX, ANDAR/CSSC/TT/TXD
CBU;RJ;CASIMIRO DE ABREU;CASIMIRO DE ABREU I;Netwin;Instalado;2014-04-05 20:53:11 UTC;2021-02-25 20:06:37 UTC;-224.808.087;-422.051.926;RUA JOSE JORGE, 93, CENTRO, CASIMIRO DE ABREU - RJ 28860000;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS, CX_CBU01_BATIK, DG - TERREO, Datacom, EST/CBU/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, TERREO - SALA TX, TRANSMISSAO - TERREO
CAH;PA;CASTANHAL;CASTANHAL;Netwin;Instalado;2014-04-05 19:37:26 UTC;2021-12-13 17:38:16 UTC;-12.944.803;-479.242.243;AVENIDA MAXIMINO PORPINO DA SILVA, 1518, CENTRO, CASTANHAL - PA 68743000;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;CAH01_COMUTACAO-TROPICO RA, CG, CG, Datacom, EST/CAH/NI/NI, Metro, Newbridge, RADIOS ANATEL, TRANSMISSAO - TERREO, TRANSMISSÃƒO
CARB;PR;CASTRO;CARB;Netwin;Instalado;2022-10-21 12:45:54 UTC;2022-12-14 19:16:04 UTC;-247.960.548;-499.972.636;RUA STOS DUMONT, 135, VL RIO BRANCO, CASTRO - PR 84172510 ;Não;Sala, Sala;ANDAR/CARB/TT/01
CGS;MG;CATAGUASES;CATAGUASES;Netwin;Instalado;2014-04-05 20:45:48 UTC;2019-05-23 17:26:14 UTC;-21.388.705;-426.912.908;PRACA SANDOVAL AZEVEDO, 19, CENTRO, CATAGUASES - MG 36770046;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;CGS01_COMUTACAO-AXE, DADOS, Datacom, EST/CGS/NI/NI, Metro, Newbridge, RMS, TRANSMISSAO, TRANSMISSAO-TERREO, TRANSMISSÃƒO - TÃ‰RREO, TRANSMISSÃƒO 1Âº ANDAR, TX / 3ÂºANDAR
CTL;GO;CATALAO;CATALAO-SAC;Netwin;Instalado;2016-08-21 15:07:06 UTC;2022-03-03 12:56:27 UTC;-18.169.276;-479.477.818;RUA WILLIAN FAIAD, SN, SETOR CENTRAL, CATALAO - GO 75701220 ;Não;Sala, Sala, Sala, Sala;ANDAR/CTL/TT/01, ANDAR/CTL/TT/1, TX2
CAX;MG;CAXAMBU;CAXAMBU;Netwin;Instalado;2014-04-05 20:45:29 UTC;2021-08-20 17:34:02 UTC;-219.794.216;-449.332.046;RUA MAJOR PENHA, 271, CENTRO, CAXAMBU - MG 37440000 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;341, Datacom, EST/CAX/NI/NI, Metro, Newbridge, TRANSMISSAO, TRANSMISSAO-TERREO, TRANSMISSÃƒO - TÃ‰RREO, TX / 1ÂºANDAR
CSL;RS;CAXIAS DO SUL;CAXIAS DO SUL;Netwin;Instalado;2018-12-14 14:04:14 UTC;2023-12-20 11:19:53 UTC;-291.651.373;-511.808.633;RUA VINTE DE SETEMBRO, 2048, CENTRO, CAXIAS DO SUL - RS 95020450 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/CSL/01/CD, ANDAR/CSL/01/TX, ANDAR/CSL/01/TX NOVA, ANDAR/CSL/02/CD, ANDAR/CSL/02/DADOS, ANDAR/CSL/02/TX, ANDAR/CSL/03/CD, ANDAR/CSL/TT/01, EST/CSL/NI/NI
CXD;RS;CAXIAS DO SUL;CXD;Netwin;Instalado;2023-01-16 10:00:30 UTC;2023-01-16 10:04:12 UTC;-2.916.853;-5.117.989;;Não;Sala, Sala, Sala;CD, IE, TX
FASA;RS;CAXIAS DO SUL;FAZENDA SOUZA;Netwin;Instalado;2023-05-10 13:49:38 UTC;2023-05-10 13:54:33 UTC;-291.257.853;-510.115.223;;Não;;
GALO;RS;CAXIAS DO SUL;GALOPOLIS - CAXIAS;Netwin;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-291.346;-51.927;;Não;Sala, Sala;ANDAR/GALO/01/TX
VCNA;RS;CAXIAS DO SUL;VCNA;Netwin;Instalado;2023-01-07 00:00:00 UTC;2023-01-07 00:00:00 UTC;-293.130.556;-511.661.111;;Não;Sala;ANDAR/VCNA/TT/TX
EDOL;GO;CIDADE OCIDENTAL;TEL CID OCIDENTAL;Netwin;Instalado;2020-04-30 15:05:39 UTC;2020-05-08 18:18:59 UTC;-161.113.701;-479.342.251;SUPERQUADRA SQ 10 Q 8, 45, CENTRO, CIDADE OCIDENTAL - GO 72880461;Não;Sala, Sala;ANDAR/EDOL/TT/TX
CLO;PR;COLORADO;COLORADO;Netwin;Instalado;2022-09-26 17:10:21 UTC;2023-01-11 19:31:22 UTC;-228.378.257;-519.754.144;RUA GOIAS, 587, CENTRO, COLORADO - PR 86690000 ;Não;Sala, Sala, Sala;ANDAR/CLO/TT/01, ANDAR/CLO/TT/TXD
CIN;MG;CONTAGEM;CIDADE INDUSTRIAL;Netwin;Instalado;2014-04-05 20:46:09 UTC;2022-03-24 19:16:10 UTC;-199.527.841;-440.204.256;AVENIDA CARDEAL EUGENIO PACELLI, 1052, CIDADE INDUSTRIAL, BELO HORIZONTE - MG 32210002 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala;Datacom, Metro, Newbridge, RMS, TRANSMISSÃƒO - TERREO, TX - 2Âº ANDAR
CON;MG;CONTAGEM;CONTAGEM;Netwin;Instalado;2014-04-05 20:46:09 UTC;2022-09-17 17:25:58 UTC;-199.362.841;-440.594.568;AVENIDA JOAO CESAR DE OLIVEIRA, 3800, BEATRIZ, CONTAGEM - MG 32040000 ;Não;Sala, Sala, Sala, Sala, Sala, Sala;Datacom, Metro, Newbridge, RMS, TRANSMISSÃƒO - TERREO
CON;MG;CONTAGEM;CONTAGEM;Netwin;Instalado;2019-12-27 13:17:11 UTC;2020-02-11 18:44:24 UTC;-199.362.037;-440.593.901;AVENIDA JOAO CESAR DE OLIVEIRA, 3800, BEATRIZ, CONTAGEM - MG 32040000;Não;Sala;
NAC;MG;CONTAGEM;NACIONAL;Netwin;Instalado;2022-04-28 20:40:36 UTC;2022-05-03 17:59:16 UTC;-225.917;-430.907;RUA QUINTINO BOCAIUVA, 225, PEDRA AZUL, CONTAGEM - MG 32185000 ;Não;;
PET;MG;CONTAGEM;PETROLANDIA;Netwin;Instalado;2014-04-05 20:46:06 UTC;2020-08-14 13:40:46 UTC;-199.347.649;-441.128.716;RUA SOLEDADE, 260, SAO CAETANO, CONTAGEM - MG 32073570;Não;Sala, Sala, Sala;Datacom, Metro, TERREO -  TX
CPCL;PR;CORNELIO PROCOPIO;CORNELIO PROCOPIO;Netwin;Instalado;2022-04-01 15:04:17 UTC;2022-05-13 17:28:33 UTC;-231.872.261;-506.488.506;RUA JORGE MILHEN HADDAD, 803, CENTRO, CORNELIO PROCOPIO - PR 86300000 ;Não;Sala, Sala, Sala, Sala;ANDAR/CPCL/TT/01, ANDAR/CPCL/TT/TX, ANDAR/CPCL/TT/TXD, TX
CRF;MG;CORONEL FABRICIANO;CORONEL FABRICIANO;Netwin;Instalado;2014-04-05 20:45:46 UTC;2022-10-05 20:06:45 UTC;-195.277.237;-426.244.481;RUA DOUTOR QUERUBINO, 434, CENTRO, CORONEL FABRICIANO - MG 35170001;Não;Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/CRF/NI/NI, Metro, Newbridge, RMS, TRANSMISSAO - TERREO
CMCE;MS;CORUMBA;TEL CORUMBA;Netwin;Instalado;2022-06-27 19:48:10 UTC;2022-09-07 14:55:58 UTC;-190.019.444;-576.512.894;RUA D AQUINO, 0, CENTRO, CORUMBA - MS 79303060 ;Não;Sala, Sala, Sala;ANDAR/CMCE/3CD/CD, ANDAR/CMCE/3TX/TX
CBCH;MT;CUIABA;TEL CPA I/II CUIABA;Netwin;Instalado;2022-04-29 16:52:15 UTC;2026-04-06 13:15:22 UTC;-155.543.916;-560.561.441;AVENIDA OSASCO, 382, EstaÃ§ão PREDIAL, MORADA DA SERRA, CUIABA - MT 78055055 ;Não;Sala, Sala, Sala;ANDAR/CBCH/01/TX, ANDAR/CBCH/TT/RDCN
ECBA;MT;CUIABA;TEL CENTRO CUIABA;Netwin;Instalado;2018-12-14 21:56:01 UTC;2023-12-20 12:05:08 UTC;-155.993.485;-560.997.217;RUA BR DE MELGACO, 3209, CENTRO SUL, CUIABA - MT 78020902 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/ECBA/04/REDE DCN, ANDAR/ECBA/04/REDE IP, ANDAR/ECBA/04/REDE_METRO, ANDAR/ECBA/04/TX, ANDAR/ECBA/05/02, ANDAR/ECBA/05/04_ROUTER, ANDAR/ECBA/05/TX, ANDAR/ECBA/23/01, ANDAR/ECBA/TT/01, ANDAR/ECBA/TT/1, EST/ECBA/NI/NI
CTAC;PR;CURITIBA;ARROIO CERCADO;Netwin;Instalado;2021-01-25 12:27:48 UTC;2021-04-06 14:23:41 UTC;-255.357.603;-492.893.563;RUA FRANCISCO DE BASTOS, 60, PINHEIRINHO, CURITIBA - PR 81880460 ;Não;Sala, Sala, Sala, Sala;ANDAR/CTAC/TT/01, ANDAR/CTAC/TT/TX, EST/CTAC/NI/NI
CTAV;PR;CURITIBA;CTA/AGUA VERDE - AV SILVA JD 3019;Netwin;Instalado;2016-08-21 15:07:06 UTC;2025-04-29 13:33:17 UTC;-254.482.804;-492.890.451;AVENIDA SILVA JARDIM, 3019, AGUA VERDE, CURITIBA - PR 80240020 ;Não;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/CTAV/01/DAD, ANDAR/CTAV/01/TX, ANDAR/CTAV/02/TXD, ANDAR/CTAV/TT/01, CX, EST/CTAV/NI/NI
CTBV;PR;CURITIBA;CURITIBA/BOA VISTA-R ATILIO BARBOSA, 166;Netwin;Instalado;2016-08-21 15:07:06 UTC;2020-06-20 19:47:28 UTC;-25.390.508;-492.384.022;RUA DEP ATILIO DE ALMEIDA BARB, 166, BOA VISTA, CURITIBA - PR 82560460;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala;01, ANDAR/CTBV/02/TX, ANDAR/CTBV/03/TXD, ANDAR/CTBV/TT/01, EST/CTBV/NI/NI, SMP
CTCR;PR;CURITIBA;CTA/CRISTO REI- REINALDINO S QUADROS 593;Netwin;Instalado;2016-08-21 15:07:06 UTC;2018-07-13 16:53:07 UTC;-254.296.509;-49.251.931;;Não;Sala, Sala, Sala, Sala;ANDAR/CTCR/02/TX, ANDAR/CTCR/02/TXD, ANDAR/CTCR/TT/01, EST/CTCR/NI/NI
CTJE;PR;CURITIBA;JESUÃNO;Netwin;Instalado;2014-12-15 00:00:00 UTC;2019-02-14 15:52:32 UTC;-25.434.105;-49.276.374;RUA VSC DE NACAR, 1415, CENTRO, CURITIBA - PR 80410201;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/CTJE/01/TX, ANDAR/CTJE/02/93, ANDAR/CTJE/02/DADOS, ANDAR/CTJE/TT/01, ANDAR/CTJE/TT/TX, ANDAR/CTJE/TX/01, ANDAR/CTJE/TX/TXD - TEST, EST/CTJE/NI/NI, Sala GPON, TRANSMISSAO, TX
CTJV;PR;CURITIBA;CURITIBA/JUVEVE - R ANITA GARIBALDI, 523;Netwin;Instalado;2016-08-21 15:07:06 UTC;2018-07-18 13:58:43 UTC;-254.080.884;-49.256.823;;Não;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/CTJV/01/01, ANDAR/CTJV/02/TX, ANDAR/CTJV/02/TXD, ANDAR/CTJV/03/TX, ANDAR/CTJV/TT/01, EST/CTJV/NI/NI
CTME;PR;CURITIBA;MERCÃŠS;Netwin;Instalado;2018-07-16 13:14:01 UTC;2020-06-02 11:51:00 UTC;-25.423.868;-492.940.987;RUA PROF LYCIO G C VELLOZO, 191, MERCES, CURITIBA - PR 80710650;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/CTME/01/TX, ANDAR/CTME/02/DADOS, ANDAR/CTME/02/TX, ANDAR/CTME/FW/DADOS, ANDAR/CTME/FW/TX, ANDAR/CTME/FW/TXD, ANDAR/CTME/TT/01, ANDAR/CTME/TT/TX, ANDAR/CTME/TT/TXD, EST/CTME/NI/NI
CTOR;PR;CURITIBA;ORLEANS PROF PEDRO VIRIATO P SOUZA,4120;Netwin;Instalado;2016-08-21 15:07:06 UTC;2018-07-16 14:05:14 UTC;-254.402.902;-493.469.552;;Não;Sala, Sala, Sala, Sala, Sala;ANDAR/CTOR/02/TX, ANDAR/CTOR/TT/01, ANDAR/CTOR/TT/TX, ANDAR/CTOR/TT/TXD, EST/CTOR/NI/NI
CTPI;PR;CURITIBA;CURITIBA - PINHEIRINHO;Netwin;Instalado;2018-12-04 11:35:41 UTC;2019-05-20 19:41:34 UTC;-254.902.806;-49.296.262;RUA LUIZ LEOPOLDO LANDAL, 216, NOVO MUNDO, CURITIBA - PR 81050120 ;Não;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/CTPI/01/TX, ANDAR/CTPI/TT/01, ANDAR/CTPI/TT/TX, ANDAR/CTPI/TT/TXD, EST/CTPI/NI/NI
CTPN;PR;CURITIBA;CTA/PAROLIN-CONS DANTAS;Netwin;Instalado;2016-08-21 15:07:06 UTC;2018-09-18 12:46:05 UTC;-254.531.689;-492.675.499;;Não;Sala, Sala, Sala;ANDAR/CTPN/TT/01, ANDAR/CTPN/TT/TXD, EST/CTPN/NI/NI
CTSF;PR;CURITIBA;CURITIBA/STA FELICIDADE-R T TULIO 2119;Netwin;Instalado;2018-07-16 13:38:57 UTC;2020-09-17 02:33:38 UTC;-254.110.312;-493.474.739;AVENIDA VER TOALDO TULIO, 2119, SANTA FELICIDADE, CURITIBA - PR 82320010 ;Não;Sala, Sala, Sala, Sala, Sala;ANDAR/CTSF/01/TXD, ANDAR/CTSF/TT/01, ANDAR/CTSF/TT/TX, EST/CTSF/NI/NI
CTSL;PR;CURITIBA;SÃƒO LOURENÃ‡O;Netwin;Instalado;2018-07-18 12:53:06 UTC;2018-07-18 12:54:31 UTC;-253.810.156;-492.644.633;;Não;Sala, Sala, Sala;ANDAR/CTSL/TT/01, ANDAR/CTSL/TT/TX, ANDAR/CTSL/TT/TXD
